MAPID;NAME;CATEGORY1;CATEGORY2;ADDRESS;SHORT_DESCRIPTION;URL;URL2;URL3;Geom;Geo Local Area
GCP160;Pollinating for the People;Greenest City Fund Project;Local-Food;Cedar Cottage, Kensington and Hastings-Sunrise;Kensington, Cedar Cottage - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0594199982, 49.258106991076]}";Kensington-Cedar Cottage
GCP161;My Own Backyard Community Garden (MOBY);Greenest City Fund Project;Local-Food;Cedar Cottage, Kensington and Hastings-Sunrise;Kensington, Cedar Cottage - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.059391016122, 49.2581599961134]}";Kensington-Cedar Cottage
GCP162;Cooking off the Grid;Greenest City Fund Project;Local-Food;Cedar Cottage, Kensington and Hastings-Sunrise;Kensington, Cedar Cottage - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.059392003609, 49.258179995003]}";Kensington-Cedar Cottage
GCP163;Accessibility at Copely Community Orchar;Greenest City Fund Project;Local-Food;Cedar Cottage, Kensington and Hastings-Sunrise;Kensington, Cedar Cottage - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.059400008198, 49.2581399965795]}";Kensington-Cedar Cottage
GCP165;Natural Playground;Greenest City Fund Project;Access-to-Nature;Cedar Cottage, Kensington and Hastings-Sunrise;Kensington, Cedar Cottage - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0593533, 49.25811876]}";Kensington-Cedar Cottage
GCP168;Styro free challenge;Greenest City Fund Project;Zero-Waste;West End;West End Neighbourhood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.133719992773, 49.2855299881578]}";West End
GCP171;Organic coop;Greenest City Fund Project;Local-Food;West End;West End Neighbourhood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.133789981938, 49.285502995302]}";West End
GCP177;Street garden;Greenest City Fund Project;Local-Food;West End;West End Neighbourhood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.133720983445, 49.2854999912529]}";West End
GCP181;Home harvest;Greenest City Fund Project;Local-Food;West End;West End Neighbourhood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.13378999357, 49.2855159846491]}";West End
GCP183;Compost initiative;Greenest City Fund Project;Zero-Waste;West End;West End Neighbourhood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.1337599912, 49.2855500014158]}";West End
GCP184;Kitsilano Composts;Greenest City Fund Project;Zero-Waste;Kitsilano;Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.15723098487, 49.265250985783]}";Kitsilano
GCP193;"Kits Meals: Drop-in ""Spaghetti"" Nights";Greenest City Fund Project;Local-Food;Kitsilano;Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.15722998261, 49.2651999934006]}";Kitsilano
GCP195;Maple St Medicinal Herb Garden;Greenest City Fund Project;Local-Food;Kitsilano;Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.157129993235, 49.2652599924053]}";Kitsilano
GCP196;Kits Village Collaborative Garden;Greenest City Fund Project;Local-Food;Kitsilano;Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.157199984093, 49.2654799871116]}";Kitsilano
GCP198;Envisioning Community Food Resilience on;Greenest City Fund Project;Local-Food;Kitsilano;Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.157212986105, 49.265431998079]}";Kitsilano
GCP199;3 Bin Compost System for Queen Elizabeth;Greenest City Fund Project;Zero-Waste;Kitsilano;Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.157230982509, 49.2655599898828]}";Kitsilano
GCP200;Cultivating Collaborative and Community;Greenest City Fund Project;Local-Food;Kitsilano;Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.157259980915, 49.2651999935912]}";Kitsilano
GCP201;Community Garden (SGSC);Greenest City Fund Project;Local-Food;Kitsilano;Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.157289999192, 49.2650999852985]}";Kitsilano
GCP204;Playhouse and Sandbox;Greenest City Fund Project;Lighter-Footprint;Kitsilano;Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.157279986935, 49.2652099974543]}";Kitsilano
GCP207;Seismic Upgrading with Passive House Tec;Greenest City Fund Project;Lighter-Footprint;Kitsilano;Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.1576533, 49.26539988]}";Kitsilano
GCP212;Edible Garden Project;Greenest City Fund Project;Local-Food;Mount Pleasant, Little Mountain;Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.100100010364, 49.247060010179]}";Riley Park
GCP213;Bike Rally/Ride;Greenest City Fund Project;Green-Transportation;Mount Pleasant, Little Mountain;Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.100079996214, 49.2471100102533]}";Riley Park
GCP214;Clothing Project;Greenest City Fund Project;Local-Food;Mount Pleasant, Little Mountain;Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.100130007971, 49.2470150011482]}";Riley Park
GCP217;Fall Harvest Party;Greenest City Fund Project;Local-Food;Mount Pleasant, Little Mountain;Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.100050002787, 49.2471300076315]}";Riley Park
