Index Number;Name;Address;Project Status;Occupancy Year;Design - Accessible 1BR;Design - Accessible 2BR;Design - Accessible 3BR;Design - Accessible 4BR;Design - Accessible Studio;Design - Accessible Room;Design - Adaptable 1BR;Design - Adaptable 2BR;Design - Adaptable 3BR;Design - Adaptable 4BR;Design - Standard 1BR;Design - Standard 2BR;Design - Standard 3BR;Design - Standard 4BR;Design - Standard Studio;Design - Standard Room;Clientele- Families;Clientele - Seniors;Clientele - Other;Operator;Local Area;URL;Geom
563;The Vivian;512 E. Cordova St.;Completed;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;24;Lookout Emergency Aid Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=563;"{""type"": ""Point"", ""coordinates"": [-123.09301216, 49.28189653]}"
636;Shaldon Hotel;52 - 60 E Hastings St;Completed;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;54;Raincity Housing and Support Society;Downtown;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=636;"{""type"": ""Point"", ""coordinates"": [-123.10300756, 49.28109008]}"
642;The Rainier;307 - 315 Carrall St;Completed;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;21;PHS Community Services Society;Downtown;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=642;"{""type"": ""Point"", ""coordinates"": [-123.10460555, 49.28223732]}"
663;The Londonderry;5550 Yew St;Completed;2008;0;0;0;0;0;0;0;0;0;0;21;1;0;0;0;0;0;0;22;Brightside Community Homes Foundation;Arbutus-Ridge;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=663;"{""type"": ""Point"", ""coordinates"": [-123.15812808, 49.23601141]}"
666;St Helen's Hotel;1161 Granville St;Completed;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;86;Coast Foundation Society;Downtown;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=666;"{""type"": ""Point"", ""coordinates"": [-123.12594954, 49.27771178]}"
668;The Rice Block;404 Hawks Ave;Completed;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;38;Atira Women’s Resource Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=668;"{""type"": ""Point"", ""coordinates"": [-123.08690641, 49.28086915]}"
671;Sorella;525 Abbott St;Completed;2011;0;0;0;0;0;0;0;0;0;0;0;12;0;0;96;0;12;0;96;Atira Women’s Resource Society;Downtown;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=671;"{""type"": ""Point"", ""coordinates"": [-123.1081018, 49.28083259]}"
694;Ashley Mar Co-op;8495 Cambie St;Completed;1983;0;0;0;0;0;0;0;0;0;0;2;12;2;0;0;0;14;0;2;Ashley Mar Co-op Housing Association;Marpole;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=694;"{""type"": ""Point"", ""coordinates"": [-123.11773843, 49.20854521]}"
695;566 Powell Street;566 Powell St;Completed;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;12;Atira Women’s Resource Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=695;"{""type"": ""Point"", ""coordinates"": [-123.09193982, 49.28278118]}"
760;Cordovan;557 E Cordova St;Completed;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5;MPA Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=760;"{""type"": ""Point"", ""coordinates"": [-123.09214537, 49.28239934]}"
764;Alexander;626 Alexander;Completed;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5;Community Builders Group;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=764;"{""type"": ""Point"", ""coordinates"": [-123.09066952, 49.28366473]}"
771;Cause we Care House;730 E Hastings;Completed;2017;0;0;0;0;0;0;0;0;0;0;0;10;11;0;0;0;21;0;0;YWCA Vancouver;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=771;"{""type"": ""Point"", ""coordinates"": [-123.0888949, 49.28082218]}"
772;1105 Seymour;1105 Seymour;Completed;2017;0;0;0;0;0;0;0;0;0;0;44;19;0;0;;18;19;0;62;City of Vancouver;Downtown;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=772;"{""type"": ""Point"", ""coordinates"": [-123.12412411, 49.27759099]}"
777;179 Main Street;179 Main Street;Completed;2019;;;;;;;;;;;;;;;9;;0;0;9;Anhart Foundation;Downtown;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=777;"{""type"": ""Point"", ""coordinates"": [-123.10002332, 49.28362092]}"
779;2780 - 2800 E Marine Dr;2780 - 2800 SE Marine Dr;Under Construction;;;;;;;;;;;;;;;;;;0;0;188;;Kerrisdale;;"{""type"": ""Point"", ""coordinates"": [-123.16824661, 49.22531909]}"
