CRASH_ID,CRASH_DATE,CRASH_TIME,SUBURB_LOCATION,LONGITUDE,LATITUDE,INTERSECTION,MIDBLOCK,CRASH_DIRECTION,CRASH_SEVERITY,LIGHTING_CONDITION,ROAD_CONDITION,WEATHER_CONDITION,Location
1210168,01/07/2019,08:15,COOK,149.0634973248262,-35.25926657276451,NO,YES,North / East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.25926657276451, 149.0634973248262)"
1212488,29/07/2019,17:40,KAMBAH,149.07938238390838,-35.38252290776398,NO,YES,West bound,Property Damage Only,Semi-darkness,Wet surface,Light rain,"(-35.38252290776398, 149.07938238390838)"
1210158,20/06/2019,18:40,CITY,149.12660819111892,-35.27883325246764,NO,YES,East bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.27883325246764, 149.12660819111892)"
1212493,29/07/2019,19:50,BANKS,149.09114088441132,-35.464149606644845,YES,NO,South / West bound,Property Damage Only,Dark - good street lighting,Wet surface,Cloudy or Overcast,"(-35.464149606644845, 149.09114088441132)"
1211344,22/07/2019,21:15,PARKES,149.13440315226313,-35.287621747564074,YES,NO,West bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.287621747564074, 149.13440315226313)"
1212426,26/07/2019,18:00,CITY,149.13452488541358,-35.28101537960318,YES,NO,West bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.28101537960318, 149.13452488541358)"
1212419,26/07/2019,15:40,PHILLIP,149.09454503360746,-35.34923009333399,YES,NO,West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.34923009333399, 149.09454503360746)"
1210148,20/06/2019,07:55,HIGGINS,149.03223907450217,-35.23058923600614,NO,YES,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.23058923600614, 149.03223907450217)"
1212487,29/07/2019,16:35,FYSHWICK,149.17755324470596,-35.333371147257914,YES,NO,South bound,Property Damage Only,Daylight,Wet surface,Light rain,"(-35.333371147257914, 149.17755324470596)"
1212485,29/07/2019,10:05,AMAROO,149.13229680293136,-35.16639438895663,NO,YES,West bound / Unknown,Property Damage Only,Daylight,Wet surface,Light rain,"(-35.16639438895663, 149.13229680293136)"
1210098,27/06/2019,13:20,"O""MALLEY",149.10207889045802,-35.35769628232562,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.35769628232562, 149.10207889045802)"
1212414,25/07/2019,15:30,FYSHWICK,149.12440663898437,-35.30749542682909,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.30749542682909, 149.12440663898437)"
1210149,20/06/2019,08:40,FORREST,149.12479212098557,-35.31571447908353,YES,NO,North / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.31571447908353, 149.12479212098557)"
1232325,19/08/2020,16:50,FYSHWICK,149.1619962851885,-35.33039062676296,YES,NO,South bound,Property Damage Only,Daylight,Wet surface,Light rain,"(-35.33039062676296, 149.1619962851885)"
1230812,29/07/2020,09:10,MONCRIEFF,149.1174345921191,-35.15719749819872,YES,NO,South / West bound,Injury,Daylight,Good dry surface,Fine,"(-35.15719749819872, 149.1174345921191)"
1212430,26/07/2019,20:20,RURAL - GUNGAHLIN,149.15385338190336,-35.22875663032515,YES,NO,North / East bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.22875663032515, 149.15385338190336)"
1212421,26/07/2019,16:20,CALWELL,149.09184090558477,-35.43761683879415,YES,NO,West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.43761683879415, 149.09184090558477)"
1212478,28/07/2019,11:15,PHILLIP,149.10017934302743,-35.35117268021041,YES,NO,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.35117268021041, 149.10017934302743)"
1212422,26/07/2019,16:40,LYNEHAM,149.1430466048073,-35.23635770298891,NO,YES,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.23635770298891, 149.1430466048073)"
1212471,27/07/2019,12:30,GUNGAHLIN,149.14251526422854,-35.17995681869025,YES,NO,East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.17995681869025, 149.14251526422854)"
1212148,30/07/2019,17:05,ACTON,149.1133514010216,-35.28590226593915,NO,YES,West bound,Property Damage Only,Semi-darkness,Good dry surface,Fine,"(-35.28590226593915, 149.1133514010216)"
1212227,25/07/2019,08:00,BRUCE,149.12440663898437,-35.30749542682909,NO,YES,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.30749542682909, 149.12440663898437)"
1213645,25/08/2019,11:45,GRIFFITH,149.13269517053186,-35.32106009838335,NO,YES,North / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.32106009838335, 149.13269517053186)"
1212473,27/07/2019,13:38,"O""CONNOR",149.12240048018336,-35.26424583000446,NO,YES,North / East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.26424583000446, 149.12240048018336)"
1210165,30/06/2019,15:35,CURTIN,149.08088462106966,-35.313955008676835,YES,NO,North / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.313955008676835, 149.08088462106966)"
1213494,14/08/2019,17:45,REID,149.14131495147458,-35.279539102005224,YES,NO,South / West bound,Property Damage Only,Semi-darkness,Good dry surface,Fine,"(-35.279539102005224, 149.14131495147458)"
1211331,10/07/2019,17:30,RURAL - MAJURA,149.1717764713293,-35.29350756376985,NO,YES,East bound,Property Damage Only,Semi-darkness,Good dry surface,Fine,"(-35.29350756376985, 149.1717764713293)"
1210103,28/06/2019,14:55,GRIFFITH,149.13391358033368,-35.31962586040424,YES,NO,South / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.31962586040424, 149.13391358033368)"
1210163,28/06/2019,13:10,PALMERSTON,149.1235635904172,-35.19235968913239,NO,YES,Unknown,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.19235968913239, 149.1235635904172)"
1211340,22/07/2019,07:25,MACQUARIE,149.07547813702595,-35.25036510377945,YES,NO,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.25036510377945, 149.07547813702595)"
1213640,23/08/2019,10:25,DICKSON,149.14038747176394,-35.24956411858824,NO,YES,North / East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.24956411858824, 149.14038747176394)"
1210151,20/06/2019,14:40,AINSLIE,149.14862350278176,-35.253619619668086,YES,NO,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.253619619668086, 149.14862350278176)"
1213626,16/08/2019,15:15,NGUNNAWAL,149.12144259722606,-35.17488594250844,NO,YES,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.17488594250844, 149.12144259722606)"
1213622,16/08/2019,09:20,DICKSON,149.1323285495145,-35.26041478625887,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.26041478625887, 149.1323285495145)"
1211343,22/07/2019,08:55,MAWSON,149.0970242296436,-35.36324274103821,YES,NO,North / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.36324274103821, 149.0970242296436)"
1213633,21/08/2019,09:20,CHIFLEY,149.07018603534252,-35.35804104760405,NO,YES,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.35804104760405, 149.07018603534252)"
1210097,26/06/2019,17:40,RURAL - MOLONGLO VALLEY,149.07916971450436,-35.28881091369974,NO,YES,North bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.28881091369974, 149.07916971450436)"
1213635,22/08/2019,08:30,LATHAM,149.02617372226777,-35.22070329603712,YES,NO,South / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.22070329603712, 149.02617372226777)"
