Owner,Common Name,Scientific Name,Park,Number of Stems,Trunk Diameter (cm),Date Installed,Memorial Tree,GeoJSON,Lat/Long
Municipal,Blue Spruce,Picea pungens,,1,27.0,,,"{""type"": ""Point"", ""coordinates"": [-76.53243121199995, 44.24658067200005]}","44.246580672,-76.532431212"
Municipal,Sugar Maple,Acer saccharum,Jim Beattie Park,1,5.0,2017-11-22T06:00:00+01:00,Yes,"{""type"": ""Point"", ""coordinates"": [-76.58407347849679, 44.22877158934944]}","44.2287715893,-76.5840734785"
Municipal,Sugar Maple,Acer saccharum,Westpark,1,5.0,2015-10-19T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.59630384944236, 44.2346016593357]}","44.2346016593,-76.5963038494"
Municipal,Norway Maple,Acer platanoides,,1,60.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58408047699999, 44.24635330600006]}","44.246353306,-76.584080477"
Municipal,Sugar Maple,Acer saccharum,Channel View Park,1,5.0,2016-10-07T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.32774573411452, 44.278787061784826]}","44.2787870618,-76.3277457341"
Municipal,Silver Maple,Acer saccharinum,,1,4.0,,,"{""type"": ""Point"", ""coordinates"": [-76.45198199099997, 44.259767520000025]}","44.25976752,-76.451981991"
Municipal,Silver Maple,Acer saccharinum,,2,97.0,,,"{""type"": ""Point"", ""coordinates"": [-76.53764577589607, 44.282193342265]}","44.2821933423,-76.5376457759"
Municipal,Austrian Pine,Pinus nigra,Tugwood Park,1,58.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49524922799998, 44.24845955600006]}","44.248459556,-76.495249228"
Municipal,Littleleaf Linden,Tilia cordata,,1,34.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52840925899994, 44.25641217000003]}","44.25641217,-76.528409259"
Municipal,Elm Species,Ulmus species,,1,14.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50535117899994, 44.234233317000076]}","44.234233317,-76.505351179"
Municipal,Kentucky Coffeetree,Gymnocladus dioicus,Nickle Avenue Park,1,4.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52885406457958, 44.2272200255267]}","44.2272200255,-76.5288540646"
Municipal,Black Maple,Acer nigrum,,1,17.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58404301699994, 44.25236737400007]}","44.252367374,-76.584043017"
Municipal,Littleleaf Linden,Tilia cordata,,1,13.0,,,"{""type"": ""Point"", ""coordinates"": [-76.59752811699997, 44.25891613700003]}","44.258916137,-76.597528117"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,6.0,,,"{""type"": ""Point"", ""coordinates"": [-76.56850340199998, 44.28015197500008]}","44.280151975,-76.568503402"
Municipal,Norway Maple,Acer platanoides,,1,9.0,,,"{""type"": ""Point"", ""coordinates"": [-76.54987528799995, 44.26467632500004]}","44.264676325,-76.549875288"
Municipal,Norway Maple,Acer platanoides,,1,3.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57654582699996, 44.26860504900003]}","44.268605049,-76.576545827"
Municipal,Sugar Maple,Acer saccharum,,1,10.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55740975199996, 44.25499634000005]}","44.25499634,-76.557409752"
Municipal,Honey-Locust,Gleditsia triacanthos,Elevator Bay Park,1,5.0,2014-10-11T06:00:00+02:00,Yes,"{""type"": ""Point"", ""coordinates"": [-76.53479671137787, 44.21824181920972]}","44.2182418192,-76.5347967114"
Municipal,Red/green Ash,Fraxinus pennsylvanica,,1,55.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60460513999999, 44.24401989100005]}","44.244019891,-76.60460514"
Municipal,Serviceberry,Amelanchier species,,1,6.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48245114399998, 44.23170724700003]}","44.231707247,-76.482451144"
Municipal,Silver Maple,Acer saccharinum,,1,40.0,,,"{""type"": ""Point"", ""coordinates"": [-76.51124511599994, 44.22844035000003]}","44.22844035,-76.511245116"
Municipal,Silver Maple,Acer saccharinum,Kingston Memorial Centre,1,33.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49969942299998, 44.23880504600004]}","44.238805046,-76.499699423"
Municipal,Littleleaf Linden,Tilia cordata,,1,42.0,,,"{""type"": ""Point"", ""coordinates"": [-76.53191745199996, 44.248981409000066]}","44.248981409,-76.531917452"
Municipal,Norway Maple,Acer platanoides,,1,22.0,,,"{""type"": ""Point"", ""coordinates"": [-76.46637675199997, 44.25527408000005]}","44.25527408,-76.466376752"
