Intersection-Leg,Description,Start Date,Days,AWDT,EB Peak AM Hour,EB Peak AM Volume,EB Peak PM Hour,EB Peak PM Volume,WB Peak AM Hour,WB Peak AM Volume,WB Peak PM Hour,WB Peak PM Volume,NB Peak AM Hour,NB Peak AM Volume,NB Peak PM Hour,NB Peak PM Volume,SB Peak AM Hour,SB Peak AM Volume,SB Peak PM Hour,SB Peak PM Volume,Location
REDW-WILR-E,Redmond Way east of Willows Rd,10/24/2011,7,27528,11:00 AM,859,5:00 PM,1024,11:00 AM,850,5:00 PM,1124,,,,,,,,,"(47.674182, -122.135315)"
040S-BRR-S,Bel-Red Rd south of NE 40th St,03/19/2007,3,11577,,,,,,,,,9:00 AM,374,5:00 PM,617,8:00 AM,499,5:00 PM,583,"(47.64369, -122.115981)"
BRR-156A-S,156th Ave NE south of Bel-Red Rd,09/11/2012,3,15371,,,,,,,,,9:00 AM,859,1:00 PM,537,11:00 AM,430,5:00 PM,1044,"(47.632153, -122.132355)"
076S-166A-S,166th Ave NE south of NE 76th St,05/22/2006,3,6981,,,,,,,,,11:00 AM,143,5:00 PM,257,11:00 AM,341,5:00 PM,504,"(47.671, -122.118866)"
085S-164A-N,164th Ave NE north of NE 85th St,10/04/1999,3,14110,,,,,,,,,11:00 AM,342,5:00 PM,720,7:00 AM,777,5:00 PM,495,"(47.679053, -122.121598)"
ORR-WLSP-N,West Lake Sammamish Pkwy north of Old Redmond Rd,11/01/1999,3,11798,,,,,,,,,8:00 AM,330,6:00 PM,467,9:00 AM,514,5:00 PM,571,"(47.672629, -122.133731)"
065S-ELSP-S,East Lake Sammamish Pkwy south of NE 65th St,10/23/2012,3,17990,,,,,,,,,8:00 AM,1111,5:00 PM,552,9:00 AM,473,5:00 PM,1309,"(47.663474, -122.099403)"
109S-RWR-E,NE 109th St east of Red-Wood Rd,10/13/2009,3,6624,7:00 AM,190,6:00 PM,367,7:00 AM,340,5:00 PM,250,,,,,,,,,"(47.697935, -122.131794)"
040S-150A-N,150th Ave NE north of NE 40th St,09/27/2005,3,6611,,,,,,,,,11:00 AM,288,5:00 PM,494,8:00 AM,249,5:00 PM,227,"(47.646766, -122.140328)"
104S-166A-N,166th Ave NE north of NE 104th St,10/09/2007,3,4670,,,,,,,,,7:00 AM,123,5:00 PM,414,9:00 AM,220,3:00 PM,139,"(47.693421, -122.1185)"
090S-154A-S,154th Ave NE south of NE 90th St,09/11/2001,3,9806,,,,,,,,,9:00 AM,371,6:00 PM,338,9:00 AM,500,6:00 PM,260,"(47.680411, -122.13469)"
116S-AVR-E,NE 116th St east of Avondale Rd,10/09/2007,3,2223,7:00 AM,174,3:00 PM,117,8:00 AM,112,3:00 PM,124,,,,,,,,,"(47.702717, -122.0877)"
080S-171A-N,171st Ave NE north of NE 80th St,10/02/2007,3,1152,,,,,,,,,11:00 AM,29,6:00 PM,67,8:00 AM,80,5:00 PM,36,"(47.675439, -122.111395)"
095S-WILR-N,Willows Rd north of NE 95th St,10/18/2008,3,23117,,,,,,,,,8:00 AM,779,4:00 PM,965,9:00 AM,947,4:00 PM,941,"(47.693976, -122.151332)"
ORR-140A-W,Old Redmond Rd west of 140th Ave NE,09/13/2005,3,13237,8:00 AM,490,5:00 PM,557,7:00 AM,393,5:00 PM,787,,,,,,,,,"(47.666826, -122.155064)"
104S-166A-E,NE 104th St east of 166th Ave NE,10/18/1999,3,8165,7:00 AM,384,5:00 PM,517,7:00 AM,453,2:00 PM,433,,,,,,,,,"(47.692912, -122.116909)"
085S-164A-W,NE 85th St west of 164th Ave NE,10/16/2012,3,13131,8:00 AM,537,5:00 PM,641,11:00 AM,411,5:00 PM,856,,,,,,,,,"(47.678485, -122.122287)"
076S-166A-N,166th Ave NE north of NE 76th St,10/14/2008,3,10591,,,,,,,,,11:00 AM,248,5:00 PM,397,11:00 AM,511,1:00 PM,614,"(47.671868, -122.118867)"
NHR-AVR-N,Avondale Rd north of Novelty Hill Rd,11/15/2011,3,26836,,,,,,,,,11:00 AM,644,5:00 PM,1528,7:00 AM,1028,3:00 PM,867,"(47.690064, -122.091883)"
MMW-WLSP-S,West Lake Sammamish Pkwy south of Marymoor Way,09/25/2012,3,21185,,,,,,,,,8:00 AM,698,5:00 PM,1480,9:00 AM,1157,5:00 PM,988,"(47.660476, -122.124756)"
083S-160A-S,160th Ave NE south of NE 83rd St,11/08/2016,3,7278,,,,,,,,,11:00 AM,234,5:00 PM,367,9:00 AM,274,5:00 PM,314,"(47.675734, -122.1274)"
040S-156A-W,NE 40th St west of 156th Ave NE,09/11/2007,3,32802,9:00 AM,2031,1:00 PM,1162,11:00 AM,846,5:00 PM,1361,,,,,,,,,"(47.64604, -122.133005)"
085S-154A-E,NE 85th St east of 154th Ave NE,11/15/2011,3,7613,11:00 AM,257,5:00 PM,430,8:00 AM,432,12:00 PM,325,,,,,,,,,"(47.6786, -122.133768)"
024S-148A-W,NE 24th St west of 148th Ave NE,09/29/2009,3,13852,11:00 AM,567,12:00 PM,655,8:00 AM,558,5:00 PM,633,,,,,,,,,"(47.631494, -122.144158)"
095S-WILR-N,Willows Rd north of NE 95th St,03/19/2007,3,30072,,,,,,,,,7:00 AM,827,4:00 PM,1136,8:00 AM,1526,4:00 PM,1371,"(47.693976, -122.151332)"
090S-154A-E,NE 90th St east of 154th Ave NE,10/22/2013,3,14825,11:00 AM,536,5:00 PM,948,8:00 AM,910,12:00 PM,551,,,,,,,,,"(47.682202, -122.133569)"
083S-164A-W,NE 83rd St west of 164th Ave NE,11/29/2016,3,4620,11:00 AM,198,5:00 PM,402,7:00 AM,120,3:00 PM,132,,,,,,,,,"(47.676673, -122.12227)"
NHR-AVR-E,Novelty Hill Rd east of Avondale Rd,10/23/2012,3,17260,7:00 AM,378,6:00 PM,808,7:00 AM,1010,3:00 PM,556,,,,,,,,,"(47.687801, -122.091722)"
REDW-148A-S,148th Ave NE south of Redmond Way,08/05/1996,7,15127,,,,,,,,,11:00 AM,486,5:00 PM,1097,8:00 AM,853,5:00 PM,606,"(47.673833, -122.143018)"
024S-173A-S,173rd Ave NE south of NE 24th St,10/06/2009,3,915,,,,,,,,,8:00 AM,47,6:00 PM,36,7:00 AM,18,6:00 PM,51,"(47.630427, -122.109408)"
ORR-WLSP-S,West Lake Sammamish Pkwy south of Old Redmond Rd,11/04/2014,3,20233,,,,,,,,,10:00 AM,437,6:00 PM,582,9:00 AM,1075,6:00 PM,1086,"(47.671592, -122.132883)"
090S-RWR-N,Red-Wood Rd north of NE 90th St,09/18/2001,3,20402,,,,,,,,,11:00 AM,463,5:00 PM,1224,7:00 AM,1326,2:00 PM,592,"(47.685232, -122.125883)"
104S-166A-S,166th Ave NE south of NE 104th St,10/08/2012,7,9628,,,,,,,,,7:00 AM,255,5:00 PM,687,8:00 AM,708,2:00 PM,325,"(47.692107, -122.118314)"
ORR-WLSP-N,West Lake Sammamish Pkwy north of Old Redmond Rd,07/30/1996,3,12533,,,,,,,,,8:00 AM,291,5:00 PM,431,7:00 AM,527,5:00 PM,633,"(47.672629, -122.133731)"
083S-164A-W,NE 83rd St west of 164th Ave NE,09/17/1996,3,4947,11:00 AM,171,5:00 PM,471,7:00 AM,245,4:00 PM,137,,,,,,,,,"(47.676673, -122.12227)"
BRR-156A-W,Bel-Red Rd west of 156th Ave NE,09/30/2014,3,13755,9:00 AM,578,5:00 PM,560,8:00 AM,483,5:00 PM,698,,,,,,,,,"(47.632202, -122.133242)"
024S-WLSP-N,West Lake Sammamish Pkwy north of NE 24th St,09/18/2012,3,6601,,,,,,,,,8:00 AM,202,5:00 PM,570,8:00 AM,479,5:00 PM,265,"(47.632158, -122.089235)"
085S-154A-S,154th Ave NE south of NE 85th St,11/04/2014,3,15904,,,,,,,,,9:00 AM,586,6:00 PM,728,9:00 AM,882,5:00 PM,555,"(47.677883, -122.134658)"
085S-160A-W,NE 85th St west of 160th Ave NE,10/04/1999,3,16511,11:00 AM,610,5:00 PM,1105,7:00 AM,952,12:00 PM,664,,,,,,,,,"(47.678544, -122.128132)"
ORR-WLSP-W,Old Redmond Rd west of West Lake Sammamish Pkwy,10/02/2012,3,8002,9:00 AM,267,5:00 PM,599,9:00 AM,221,6:00 PM,420,,,,,,,,,"(47.671605, -122.133453)"
095S-WILR-E,NE 95th St east of Willows Rd,08/06/1996,3,5559,7:00 AM,310,1:00 PM,243,11:00 AM,244,4:00 PM,314,,,,,,,,,"(47.685905, -122.142579)"
040S-156A-W,NE 40th St west of 156th Ave NE,10/07/2014,3,27446,9:00 AM,1587,5:00 PM,917,9:00 AM,756,5:00 PM,1311,,,,,,,,,"(47.64604, -122.133005)"
ORR-140A-E,Old Redmond Rd east of 140th Ave NE,12/10/1996,3,9572,8:00 AM,393,5:00 PM,452,7:00 AM,403,5:00 PM,507,,,,,,,,,"(47.666097, -122.152862)"
BRR-156A-N,156th Ave NE north of Bel-Red Rd,10/29/2013,3,17007,,,,,,,,,9:00 AM,1049,1:00 PM,669,11:00 AM,623,4:00 PM,1078,"(47.633047, -122.132351)"
085S-160A-N,160th Ave NE north of NE 85th St,11/04/2014,3,7649,,,,,,,,,9:00 AM,267,1:00 PM,321,10:00 AM,266,6:00 PM,448,"(47.678975, -122.127506)"
080S-164A-W,NE 80th St west of 164th Ave NE,10/04/1999,3,12402,11:00 AM,299,6:00 PM,699,7:00 AM,740,4:00 PM,417,,,,,,,,,"(47.674867, -122.122072)"
REDW-148A-S,148th Ave NE south of Redmond Way,08/04/1997,7,17882,,,,,,,,,11:00 AM,579,5:00 PM,1392,8:00 AM,1034,5:00 PM,736,"(47.673833, -122.143018)"
AVR-180A-W,180th Ave NE west of Avondale Rd,10/23/2012,3,1736,8:00 AM,61,6:00 PM,92,8:00 AM,83,6:00 PM,68,,,,,,,,,"(47.682856, -122.100453)"
076S-180A-W,NE 76th St west of 178th Pl NE and 180th Ave NE,09/24/2007,3,10507,11:00 AM,297,4:00 PM,466,11:00 AM,400,4:00 PM,496,,,,,,,,,"(47.671676, -122.103036)"
095S-WILR-E,NE 95th St east of Willows Rd,10/13/2009,3,5446,7:00 AM,280,1:00 PM,214,11:00 AM,201,4:00 PM,337,,,,,,,,,"(47.685905, -122.142579)"
080S-164A-W,NE 80th St west of 164th Ave NE,11/01/2011,3,6936,11:00 AM,141,5:00 PM,258,8:00 AM,506,3:00 PM,277,,,,,,,,,"(47.674867, -122.122072)"
090S-WILR-E,NE 90th St east of Willows Rd,11/11/2014,3,16679,11:00 AM,562,5:00 PM,884,8:00 AM,596,4:00 PM,629,,,,,,,,,"(47.682267, -122.140808)"
040S-156A-S,156th Ave NE south of NE 40th St,11/03/2009,3,23743,,,,,,,,,11:00 AM,648,5:00 PM,1594,9:00 AM,1493,12:00 PM,823,"(47.645428, -122.132299)"
085S-166A-N,166th Ave NE north of NE 85th St,11/08/2011,3,13776,,,,,,,,,7:00 AM,311,5:00 PM,1008,8:00 AM,920,2:00 PM,333,"(47.678922, -122.119169)"
020S-148A-W,NE 20th St west of 148th Ave NE,09/29/2009,3,19766,11:00 AM,789,5:00 PM,1047,11:00 AM,689,12:00 PM,860,,,,,,,,,"(47.627869, -122.143992)"
UHR-AVR-W,Union Hill Rd west of Avondale Rd,10/13/2008,3,9545,8:00 AM,446,1:00 PM,475,8:00 AM,292,12:00 PM,323,,,,,,,,,"(47.674887, -122.106579)"
REDW-AVW-N,Avondale Way north of Redmond Way,10/27/2009,3,8612,,,,,,,,,11:00 AM,241,5:00 PM,439,9:00 AM,322,3:00 PM,336,"(47.672334, -122.114722)"
109S-RWR-W,NE 109th St west of Red-Wood Rd,12/10/1996,3,1439,7:00 AM,59,5:00 PM,122,7:00 AM,68,5:00 PM,75,,,,,,,,,"(47.698249, -122.13253)"
090S-160A-N,160th Ave NE north of NE 90th St,04/24/2006,3,2431,,,,,,,,,9:00 AM,47,6:00 PM,147,8:00 AM,138,6:00 PM,76,"(47.682669, -122.127565)"
085S-160A-S,160th Ave NE south of NE 85th St,06/27/1996,3,6007,,,,,,,,,11:00 AM,183,5:00 PM,273,11:00 AM,261,12:00 PM,302,"(47.678112, -122.127497)"
040S-BRR-N,Bel-Red Rd north of NE 40th St,10/06/2009,3,12191,,,,,,,,,11:00 AM,312,5:00 PM,906,9:00 AM,882,5:00 PM,447,"(47.647194, -122.114831)"
