DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
190124692,10/09/2019,10/09/2019,1245,01,Central,0192,997,TRAFFIC COLLISION,0605 3102 3401 3701 3011 3034,40,M,W,101,STREET,HOPE                         ST,PICO                         BL,"(34.0391, -118.2659)"
190124695,10/09/2019,10/08/2019,1830,01,Central,0135,997,TRAFFIC COLLISION,0605 3102 3401 3701 3011 3034 3036,54,M,B,101,STREET,3RD,MAIN,"(34.0489, -118.2453)"
191111989,06/13/2019,06/12/2019,1000,11,Northeast,1146,997,TRAFFIC COLLISION,,27,F,H,101,STREET,2700    DENBY                        AV,,"(34.104, -118.2438)"
190124706,10/09/2019,10/03/2019,1825,01,Central,0185,997,TRAFFIC COLLISION,0605 3101 3401 3701 3008 3025 3036,49,M,K,101,STREET,FLOWER                       ST,7TH                          ST,"(34.0388, -118.2574)"
200906219,02/19/2020,02/19/2020,1500,09,Van Nuys,0926,997,TRAFFIC COLLISION,3004 3602 3026 3101 4026 3037,24,M,B,101,STREET,VANOWEN                      ST,COLUMBUS                     AV,"(34.1903, -118.4399)"
190124764,10/10/2019,10/10/2019,1220,01,Central,0119,997,TRAFFIC COLLISION,0605 3102 3401 3701 3011 3034,29,M,H,101,STREET,VIGNES                       ST,CESAR E CHAVEZ,"(34.0566, -118.2319)"
190124770,10/10/2019,10/10/2019,0735,01,Central,0123,997,TRAFFIC COLLISION,0605 3101 3401 3701 3004 3026 3034 3036,55,M,B,101,STREET,TEMPLE,BROADWAY,"(34.0565, -118.2445)"
190124779,10/03/2019,09/11/2019,0050,01,Central,0152,997,TRAFFIC COLLISION,0605 3101 3401 3701 3006 3030,32,M,W,101,STREET,W  7TH                          ST,S  OLIVE                        ST,"(34.0473, -118.2566)"
191312872,06/09/2019,06/09/2019,0105,13,Newton,1309,997,TRAFFIC COLLISION,0605 3101 3401 3701 4024 3004 3025 3029 3036,28,F,H,101,STREET,ALAMEDA                      ST,SANTA MONICA,"(34.0246, -118.2392)"
200906250,02/20/2020,02/19/2020,0845,09,Van Nuys,0971,997,TRAFFIC COLLISION,3004 3037 3026 3101 4026,28,M,W,101,STREET,VENTURA                      BL,LEMONA                       AV,"(34.1527, -118.4596)"
190410827,06/07/2019,06/07/2019,2200,04,Hollenbeck,0473,997,TRAFFIC COLLISION,0605 3104 3401 3701 4004 3006 3030 3036,50,F,H,101,STREET,CHICAGO                      ST,6TH                          ST,"(34.0386, -118.2162)"
190115585,06/10/2019,06/09/2019,2200,01,Central,0174,997,TRAFFIC COLLISION,0605 3101 3401 3701 4001 3004 3025 3036,25,M,A,101,STREET,9TH,MAIN,"(34.0411, -118.2545)"
190124620,10/08/2019,10/08/2019,1745,01,Central,0111,997,TRAFFIC COLLISION,0605 3101 3401 3701 3003 3024 3029 3036,73,M,A,101,STREET,BROADWAY,ORD,"(34.0604, -118.2393)"
