StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:18:00 AM,4127792,42.13,42.20
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:19:00 AM,4127793,42.12,42.16
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:20:00 AM,4127794,42.12,42.13
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:21:00 AM,4127795,42.12,42.10
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:22:00 AM,4127796,42.11,42.04
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:23:00 AM,4127797,42.11,41.99
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:24:00 AM,4127798,42.11,41.96
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:25:00 AM,4127799,42.11,41.91
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:26:00 AM,4127800,42.11,41.87
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:27:00 AM,4127801,42.11,41.80
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:28:00 AM,4127802,42.11,41.72
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:29:00 AM,4127803,42.11,41.66
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:30:00 AM,4127804,42.11,41.60
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:16:00 AM,4157290,40.84,42.84
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:17:00 AM,4157291,40.83,42.80
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:18:00 AM,4157292,40.81,42.74
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:19:00 AM,4157293,40.81,42.69
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:20:00 AM,4157294,40.79,42.65
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:21:00 AM,4157295,40.77,42.60
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:22:00 AM,4157296,40.77,42.58
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:23:00 AM,4157297,40.76,42.56
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:24:00 AM,4157298,40.73,42.54
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:25:00 AM,4157299,40.71,42.50
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:26:00 AM,4157300,40.69,42.48
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:27:00 AM,4157301,40.66,42.44
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:28:00 AM,4157302,40.63,42.41
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:29:00 AM,4157303,40.59,42.36
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 02:30:00 AM,4157304,40.54,42.33
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:29:00 AM,3045813,45.69,45.69
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 02:34:00 AM,4191230,41.23,41.23
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:30:00 AM,3045814,45.69,45.69
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 02:35:00 AM,4191231,41.23,41.23
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:31:00 AM,3045815,45.69,45.69
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 02:36:00 AM,4191232,41.23,41.23
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:32:00 AM,3045816,45.70,45.70
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 02:37:00 AM,4191233,41.24,41.24
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:33:00 AM,3045817,45.70,45.70
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 02:38:00 AM,4191234,41.23,41.23
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:34:00 AM,3045818,45.70,45.70
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:35:00 AM,3045819,45.70,45.70
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 02:39:00 AM,4191235,41.24,41.24
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:36:00 AM,3045820,45.69,45.69
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 02:40:00 AM,4191236,41.25,41.25
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:37:00 AM,3045821,45.69,45.69
